stop_id,title,latitude,longitude,routes
2051,Zaliznychnyi vokzal,49.840021,23.994949,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2053,Prymiskyi vokzal,49.837671,24.000625,"[{'name': '1', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2054,Kropyvnytskoho Square,49.83657,24.004385,"[{'name': '1', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2055,Kropyvnytskoho Square,49.836247,24.004353,"[{'name': '1', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2056,Bandery St,49.834846,24.006834,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2057,Starosolskykh St,49.834804,24.009641,"[{'name': '1', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2058,Lvivska politekhnika,49.834762,24.015153,"[{'name': '1', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2061,Holovna Poshta,49.836793,24.021983,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '21', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}, {'name': '45', 'transport_type': 'marshrutka'}]"
2062,Petra Doroshenka St,49.840241,24.02714,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '21', 'transport_type': 'marshrutka'}, {'name': '45', 'transport_type': 'marshrutka'}]"
2063,Petra Doroshenka St,49.840145,24.027175,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '21', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}, {'name': '45', 'transport_type': 'marshrutka'}]"
2065,Rynok Square,49.841405,24.032178,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}]"
2066,Ruska St,49.841922,24.034868,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}]"
2067,Ruska St,49.841911,24.034332,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}]"
2069,Volodymyra Shukhevycha St,49.836894,24.034828,"[{'name': '3', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
2071,Saksahanskoho St,49.834445,24.034435,"[{'name': '3', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2072,Saksahanskoho St,49.834107,24.034177,"[{'name': '3', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '43', 'transport_type': 'marshrutka'}]"
